Date,Index Category,Sub Category,Region,Change
01-01-2018,Proppant,Proppant Price Index,Anadarko,0.0
02-01-2018,Proppant,Proppant Price Index,Anadarko,0.0
03-01-2018,Proppant,Proppant Price Index,Anadarko,-9.807192780538129e-08
04-01-2018,Proppant,Proppant Price Index,Anadarko,0.0
05-01-2018,Proppant,Proppant Price Index,Anadarko,-5.0724359562858e-08
06-01-2018,Proppant,Proppant Price Index,Anadarko,-5.3833676983435705e-08
07-01-2018,Proppant,Proppant Price Index,Anadarko,-4.44981569939212e-08
08-01-2018,Proppant,Proppant Price Index,Anadarko,-5.74027283968814e-08
09-01-2018,Proppant,Proppant Price Index,Anadarko,-5.7903256783690475e-08
10-01-2018,Proppant,Proppant Price Index,Anadarko,-5.950089454720141e-08
11-01-2018,Proppant,Proppant Price Index,Anadarko,-3.5868020332381605e-08
12-01-2018,Proppant,Proppant Price Index,Anadarko,-2.530487518942997e-08
01-01-2019,Proppant,Proppant Price Index,Anadarko,-2.6131928570698923e-08
02-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3315151185571445e-08
03-01-2019,Proppant,Proppant Price Index,Anadarko,-1.36934393486231e-08
04-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3627970916741324e-08
05-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3890489765866784e-08
06-01-2019,Proppant,Proppant Price Index,Anadarko,1.45147885517589e-08
07-01-2019,Proppant,Proppant Price Index,Anadarko,0.0
08-01-2019,Proppant,Proppant Price Index,Anadarko,0.0
09-01-2019,Proppant,Proppant Price Index,Anadarko,0.0
10-01-2019,Proppant,Proppant Price Index,Anadarko,-3.280281767377445e-08
11-01-2019,Proppant,Proppant Price Index,Anadarko,-1.8189755565662404e-08
12-01-2019,Proppant,Proppant Price Index,Anadarko,0.0
01-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
02-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
03-01-2020,Proppant,Proppant Price Index,Anadarko,2.0743286139945458e-08
04-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
05-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
06-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
07-01-2020,Proppant,Proppant Price Index,Anadarko,2.4851382216700847e-08
08-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
09-01-2020,Proppant,Proppant Price Index,Anadarko,0.0
10-01-2020,Proppant,Proppant Price Index,Anadarko,-2.6961269778974494e-08
01-01-2018,Proppant,100-Mesh,Anadarko,0.0
02-01-2018,Proppant,100-Mesh,Anadarko,0.0
03-01-2018,Proppant,100-Mesh,Anadarko,0.0
04-01-2018,Proppant,100-Mesh,Anadarko,0.0
05-01-2018,Proppant,100-Mesh,Anadarko,0.0
06-01-2018,Proppant,100-Mesh,Anadarko,0.0
07-01-2018,Proppant,100-Mesh,Anadarko,0.0
08-01-2018,Proppant,100-Mesh,Anadarko,0.0
09-01-2018,Proppant,100-Mesh,Anadarko,0.0
10-01-2018,Proppant,100-Mesh,Anadarko,0.0
11-01-2018,Proppant,100-Mesh,Anadarko,0.0
12-01-2018,Proppant,100-Mesh,Anadarko,0.0
01-01-2019,Proppant,100-Mesh,Anadarko,0.0
02-01-2019,Proppant,100-Mesh,Anadarko,0.0
03-01-2019,Proppant,100-Mesh,Anadarko,0.0
04-01-2019,Proppant,100-Mesh,Anadarko,0.0
05-01-2019,Proppant,100-Mesh,Anadarko,0.0
06-01-2019,Proppant,100-Mesh,Anadarko,0.0
07-01-2019,Proppant,100-Mesh,Anadarko,0.0
08-01-2019,Proppant,100-Mesh,Anadarko,0.0
09-01-2019,Proppant,100-Mesh,Anadarko,0.0
10-01-2019,Proppant,100-Mesh,Anadarko,0.0
11-01-2019,Proppant,100-Mesh,Anadarko,0.0
12-01-2019,Proppant,100-Mesh,Anadarko,0.0
01-01-2020,Proppant,100-Mesh,Anadarko,0.0
02-01-2020,Proppant,100-Mesh,Anadarko,0.0
03-01-2020,Proppant,100-Mesh,Anadarko,0.0
04-01-2020,Proppant,100-Mesh,Anadarko,0.0
05-01-2020,Proppant,100-Mesh,Anadarko,0.0
06-01-2020,Proppant,100-Mesh,Anadarko,0.0
07-01-2020,Proppant,100-Mesh,Anadarko,0.0
08-01-2020,Proppant,100-Mesh,Anadarko,0.0
09-01-2020,Proppant,100-Mesh,Anadarko,0.0
10-01-2020,Proppant,100-Mesh,Anadarko,0.0
01-01-2018,Proppant,40/70,Anadarko,0.0
02-01-2018,Proppant,40/70,Anadarko,0.0
03-01-2018,Proppant,40/70,Anadarko,0.0
04-01-2018,Proppant,40/70,Anadarko,0.0
05-01-2018,Proppant,40/70,Anadarko,0.0
06-01-2018,Proppant,40/70,Anadarko,0.0
07-01-2018,Proppant,40/70,Anadarko,0.0
08-01-2018,Proppant,40/70,Anadarko,0.0
09-01-2018,Proppant,40/70,Anadarko,0.0
10-01-2018,Proppant,40/70,Anadarko,0.0
11-01-2018,Proppant,40/70,Anadarko,0.0
12-01-2018,Proppant,40/70,Anadarko,0.0
01-01-2019,Proppant,40/70,Anadarko,0.0
02-01-2019,Proppant,40/70,Anadarko,0.0
03-01-2019,Proppant,40/70,Anadarko,0.0
04-01-2019,Proppant,40/70,Anadarko,0.0
05-01-2019,Proppant,40/70,Anadarko,0.0
06-01-2019,Proppant,40/70,Anadarko,0.0
07-01-2019,Proppant,40/70,Anadarko,0.0
08-01-2019,Proppant,40/70,Anadarko,0.0
09-01-2019,Proppant,40/70,Anadarko,0.0
10-01-2019,Proppant,40/70,Anadarko,0.0
11-01-2019,Proppant,40/70,Anadarko,0.0
12-01-2019,Proppant,40/70,Anadarko,0.0
01-01-2020,Proppant,40/70,Anadarko,0.0
02-01-2020,Proppant,40/70,Anadarko,0.0
03-01-2020,Proppant,40/70,Anadarko,0.0
04-01-2020,Proppant,40/70,Anadarko,0.0
05-01-2020,Proppant,40/70,Anadarko,0.0
06-01-2020,Proppant,40/70,Anadarko,0.0
07-01-2020,Proppant,40/70,Anadarko,0.0
08-01-2020,Proppant,40/70,Anadarko,0.0
09-01-2020,Proppant,40/70,Anadarko,0.0
10-01-2020,Proppant,40/70,Anadarko,0.0
01-01-2018,Proppant,Proppant Price Index,Appalachian,0.0
02-01-2018,Proppant,Proppant Price Index,Appalachian,0.0
03-01-2018,Proppant,Proppant Price Index,Appalachian,-2.028003968398995e-08
04-01-2018,Proppant,Proppant Price Index,Appalachian,-2.0457467426299797e-08
05-01-2018,Proppant,Proppant Price Index,Appalachian,-1.0325156498604407e-08
06-01-2018,Proppant,Proppant Price Index,Appalachian,-3.0671824324800655e-08
07-01-2018,Proppant,Proppant Price Index,Appalachian,-2.0298408186150838e-08
08-01-2018,Proppant,Proppant Price Index,Appalachian,-2.0391284461838e-08
09-01-2018,Proppant,Proppant Price Index,Appalachian,-1.027290510199404e-08
10-01-2018,Proppant,Proppant Price Index,Appalachian,0.0
11-01-2018,Proppant,Proppant Price Index,Appalachian,-2.1030162884016923e-08
12-01-2018,Proppant,Proppant Price Index,Appalachian,-4.3734258741739224e-08
01-01-2019,Proppant,Proppant Price Index,Appalachian,-4.55999061345331e-08
02-01-2019,Proppant,Proppant Price Index,Appalachian,-3.5734728267592016e-08
03-01-2019,Proppant,Proppant Price Index,Appalachian,-2.5431838038586073e-08
04-01-2019,Proppant,Proppant Price Index,Appalachian,-1.31418641990408e-08
05-01-2019,Proppant,Proppant Price Index,Appalachian,-1.3480559047521918e-08
06-01-2019,Proppant,Proppant Price Index,Appalachian,0.0
07-01-2019,Proppant,Proppant Price Index,Appalachian,0.0
08-01-2019,Proppant,Proppant Price Index,Appalachian,-1.4223436538351665e-08
09-01-2019,Proppant,Proppant Price Index,Appalachian,-1.407153945173804e-08
10-01-2019,Proppant,Proppant Price Index,Appalachian,0.0
11-01-2019,Proppant,Proppant Price Index,Appalachian,0.0
12-01-2019,Proppant,Proppant Price Index,Appalachian,0.0
01-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
02-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
03-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
04-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
05-01-2020,Proppant,Proppant Price Index,Appalachian,1.526895354395622e-08
06-01-2020,Proppant,Proppant Price Index,Appalachian,1.5344711777383248e-08
07-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
08-01-2020,Proppant,Proppant Price Index,Appalachian,-1.540395646772247e-08
09-01-2020,Proppant,Proppant Price Index,Appalachian,-1.5383542930859302e-08
10-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
01-01-2018,Proppant,100-Mesh,Appalachian,0.0
02-01-2018,Proppant,100-Mesh,Appalachian,0.0
03-01-2018,Proppant,100-Mesh,Appalachian,0.0
04-01-2018,Proppant,100-Mesh,Appalachian,0.0
05-01-2018,Proppant,100-Mesh,Appalachian,0.0
06-01-2018,Proppant,100-Mesh,Appalachian,0.0
07-01-2018,Proppant,100-Mesh,Appalachian,0.0
08-01-2018,Proppant,100-Mesh,Appalachian,0.0
09-01-2018,Proppant,100-Mesh,Appalachian,0.0
10-01-2018,Proppant,100-Mesh,Appalachian,0.0
11-01-2018,Proppant,100-Mesh,Appalachian,0.0
12-01-2018,Proppant,100-Mesh,Appalachian,0.0
01-01-2019,Proppant,100-Mesh,Appalachian,0.0
02-01-2019,Proppant,100-Mesh,Appalachian,0.0
03-01-2019,Proppant,100-Mesh,Appalachian,0.0
04-01-2019,Proppant,100-Mesh,Appalachian,0.0
05-01-2019,Proppant,100-Mesh,Appalachian,0.0
06-01-2019,Proppant,100-Mesh,Appalachian,0.0
07-01-2019,Proppant,100-Mesh,Appalachian,0.0
08-01-2019,Proppant,100-Mesh,Appalachian,0.0
09-01-2019,Proppant,100-Mesh,Appalachian,0.0
10-01-2019,Proppant,100-Mesh,Appalachian,0.0
11-01-2019,Proppant,100-Mesh,Appalachian,0.0
12-01-2019,Proppant,100-Mesh,Appalachian,0.0
01-01-2020,Proppant,100-Mesh,Appalachian,0.0
02-01-2020,Proppant,100-Mesh,Appalachian,0.0
03-01-2020,Proppant,100-Mesh,Appalachian,0.0
04-01-2020,Proppant,100-Mesh,Appalachian,0.0
