Date,Index Category,Sub Category,Region,Change
11-01-2020,Proppant,Proppant Price Index,Anadarko,2.6709316472018106e-08
12-01-2020,Proppant,Proppant Price Index,Anadarko,2.7134248636141394e-08
01-01-2021,Proppant,Proppant Price Index,Anadarko,-0.0026431208733608
02-01-2021,Proppant,Proppant Price Index,Anadarko,0.008025329764055
03-01-2021,Proppant,Proppant Price Index,Anadarko,0.0613046443857973
04-01-2021,Proppant,Proppant Price Index,Anadarko,0.0640871544691303
05-01-2021,Proppant,Proppant Price Index,Anadarko,0.0825359593224141
06-01-2021,Proppant,Proppant Price Index,Anadarko,3.0442850013225526
11-01-2020,Proppant,100-Mesh,Anadarko,0.0
12-01-2020,Proppant,100-Mesh,Anadarko,0.0
01-01-2021,Proppant,100-Mesh,Anadarko,-0.0037025993223577
02-01-2021,Proppant,100-Mesh,Anadarko,0.0104822761848312
03-01-2021,Proppant,100-Mesh,Anadarko,0.0735993076870814
04-01-2021,Proppant,100-Mesh,Anadarko,0.0806175372491033
05-01-2021,Proppant,100-Mesh,Anadarko,0.0955908092019585
06-01-2021,Proppant,100-Mesh,Anadarko,1.9941692622208416
11-01-2020,Proppant,40/70,Anadarko,0.0
12-01-2020,Proppant,40/70,Anadarko,0.0
01-01-2021,Proppant,40/70,Anadarko,0.0
02-01-2021,Proppant,40/70,Anadarko,0.0
03-01-2021,Proppant,40/70,Anadarko,0.0
04-01-2021,Proppant,40/70,Anadarko,0.0
05-01-2021,Proppant,40/70,Anadarko,0.0
06-01-2021,Proppant,40/70,Anadarko,1.9297741553100087
11-01-2020,Proppant,Proppant Price Index,Appalachian,1.6284725838863144e-08
12-01-2020,Proppant,Proppant Price Index,Appalachian,0.0
01-01-2021,Proppant,Proppant Price Index,Appalachian,-0.6487281634924625
02-01-2021,Proppant,Proppant Price Index,Appalachian,-0.3684656241515916
03-01-2021,Proppant,Proppant Price Index,Appalachian,-0.7200814767717348
04-01-2021,Proppant,Proppant Price Index,Appalachian,-1.2830777863853378
05-01-2021,Proppant,Proppant Price Index,Appalachian,-1.4959227128320602
06-01-2021,Proppant,Proppant Price Index,Appalachian,-1.0250326749879437
11-01-2020,Proppant,100-Mesh,Appalachian,0.0
12-01-2020,Proppant,100-Mesh,Appalachian,0.0
01-01-2021,Proppant,100-Mesh,Appalachian,0.0
02-01-2021,Proppant,100-Mesh,Appalachian,0.816374331694925
03-01-2021,Proppant,100-Mesh,Appalachian,0.0681925690041667
04-01-2021,Proppant,100-Mesh,Appalachian,-0.4038239417160936
05-01-2021,Proppant,100-Mesh,Appalachian,-0.6361875570285851
06-01-2021,Proppant,100-Mesh,Appalachian,-0.8610495041853504
11-01-2020,Proppant,40/70,Appalachian,0.0
12-01-2020,Proppant,40/70,Appalachian,0.0
01-01-2021,Proppant,40/70,Appalachian,-1.1574243346447064
02-01-2021,Proppant,40/70,Appalachian,-1.774450230195782
03-01-2021,Proppant,40/70,Appalachian,-1.790060738753387
04-01-2021,Proppant,40/70,Appalachian,-2.307381283285896
05-01-2021,Proppant,40/70,Appalachian,-2.6167591790739277
06-01-2021,Proppant,40/70,Appalachian,-1.5133131320918705
11-01-2020,Proppant,Proppant Price Index,Ark-La-Tx,-5.76067646206223
12-01-2020,Proppant,Proppant Price Index,Ark-La-Tx,-10.739072721808425
01-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-12.415988852284384
02-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-13.372127263426805
03-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-14.460283479873702
04-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-16.195968381174318
05-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-14.554254400355116
06-01-2021,Proppant,Proppant Price Index,Ark-La-Tx,-13.192974994749738
11-01-2020,Proppant,100-Mesh,Ark-La-Tx,0.7929446513331702
12-01-2020,Proppant,100-Mesh,Ark-La-Tx,0.1438308643144787
01-01-2021,Proppant,100-Mesh,Ark-La-Tx,0.1659073294645057
02-01-2021,Proppant,100-Mesh,Ark-La-Tx,0.090047504101789
03-01-2021,Proppant,100-Mesh,Ark-La-Tx,-0.0963777117532044
04-01-2021,Proppant,100-Mesh,Ark-La-Tx,0.9212152696807028
05-01-2021,Proppant,100-Mesh,Ark-La-Tx,1.667546050584359
06-01-2021,Proppant,100-Mesh,Ark-La-Tx,3.829550107440585
11-01-2020,Proppant,40/70,Ark-La-Tx,-12.171221724661065
12-01-2020,Proppant,40/70,Ark-La-Tx,-19.46826838190333
01-01-2021,Proppant,40/70,Ark-La-Tx,-22.70845051274781
02-01-2021,Proppant,40/70,Ark-La-Tx,-24.85383551437944
03-01-2021,Proppant,40/70,Ark-La-Tx,-26.75972895088624
04-01-2021,Proppant,40/70,Ark-La-Tx,-31.133848395710764
05-01-2021,Proppant,40/70,Ark-La-Tx,-28.257753983732822
06-01-2021,Proppant,40/70,Ark-La-Tx,-26.902274964008907
11-01-2020,Proppant,Proppant Price Index,Denver Julesburg,-2.2335258046944453e-08
12-01-2020,Proppant,Proppant Price Index,Denver Julesburg,0.0
01-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-0.3890945962664996
02-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-0.6305924202932329
03-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-1.1803667633378283
04-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-1.4051331135248348
05-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-1.8994721471188705
06-01-2021,Proppant,Proppant Price Index,Denver Julesburg,-1.6239085413191492
11-01-2020,Proppant,100-Mesh,Denver Julesburg,0.0
12-01-2020,Proppant,100-Mesh,Denver Julesburg,0.0
01-01-2021,Proppant,100-Mesh,Denver Julesburg,-0.9242059816186252
02-01-2021,Proppant,100-Mesh,Denver Julesburg,-1.7113940096051792
03-01-2021,Proppant,100-Mesh,Denver Julesburg,-2.525561605670367
04-01-2021,Proppant,100-Mesh,Denver Julesburg,-2.122361828332602
05-01-2021,Proppant,100-Mesh,Denver Julesburg,-2.210653714393417
06-01-2021,Proppant,100-Mesh,Denver Julesburg,-2.555622251507032
11-01-2020,Proppant,40/70,Denver Julesburg,0.0
12-01-2020,Proppant,40/70,Denver Julesburg,0.0
01-01-2021,Proppant,40/70,Denver Julesburg,0.0
02-01-2021,Proppant,40/70,Denver Julesburg,0.0
03-01-2021,Proppant,40/70,Denver Julesburg,0.0
04-01-2021,Proppant,40/70,Denver Julesburg,1.321969525739383
05-01-2021,Proppant,40/70,Denver Julesburg,0.2745586176499033
06-01-2021,Proppant,40/70,Denver Julesburg,0.6934066077948396
11-01-2020,Proppant,Proppant Price Index,Gulf Coast,-3.7356872138076754e-08
12-01-2020,Proppant,Proppant Price Index,Gulf Coast,3.469241087052666
01-01-2021,Proppant,Proppant Price Index,Gulf Coast,2.8561690436948823
02-01-2021,Proppant,Proppant Price Index,Gulf Coast,1.2268441176817533
