Date_y,Index Category_y,Sub Category_y,Region_y,Change,UID,Result
01-01-2018,Proppant,Proppant Price Index,Anadarko,0.0,1118111801,significant change
02-01-2018,Proppant,Proppant Price Index,Anadarko,0.0,1118111802,significant change
03-01-2018,Proppant,Proppant Price Index,Anadarko,-9.807192780538129e-08,1118111803,significant change
04-01-2018,Proppant,Proppant Price Index,Anadarko,0.0,1118111804,significant change
05-01-2018,Proppant,Proppant Price Index,Anadarko,-5.0724359562858e-08,1118111805,significant change
06-01-2018,Proppant,Proppant Price Index,Anadarko,-5.3833676983435705e-08,1118111806,significant change
07-01-2018,Proppant,Proppant Price Index,Anadarko,-4.44981569939212e-08,1118111807,significant change
08-01-2018,Proppant,Proppant Price Index,Anadarko,-5.74027283968814e-08,1118111808,significant change
09-01-2018,Proppant,Proppant Price Index,Anadarko,-5.7903256783690475e-08,1118111809,significant change
10-01-2018,Proppant,Proppant Price Index,Anadarko,-5.950089454720141e-08,1118111810,significant change
11-01-2018,Proppant,Proppant Price Index,Anadarko,-3.5868020332381605e-08,1118111811,significant change
12-01-2018,Proppant,Proppant Price Index,Anadarko,-2.530487518942997e-08,1118111812,significant change
01-01-2019,Proppant,Proppant Price Index,Anadarko,-2.6131928570698923e-08,1118111901,significant change
02-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3315151185571445e-08,1118111902,significant change
03-01-2019,Proppant,Proppant Price Index,Anadarko,-1.36934393486231e-08,1118111903,significant change
04-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3627970916741324e-08,1118111904,significant change
05-01-2019,Proppant,Proppant Price Index,Anadarko,-1.3890489765866784e-08,1118111905,significant change
06-01-2019,Proppant,Proppant Price Index,Anadarko,1.45147885517589e-08,1118111906,significant change
07-01-2019,Proppant,Proppant Price Index,Anadarko,0.0,1118111907,significant change
08-01-2019,Proppant,Proppant Price Index,Anadarko,0.0,1118111908,significant change
09-01-2019,Proppant,Proppant Price Index,Anadarko,0.0,1118111909,significant change
