Date,Index Category,Sub Category,Region,Plow,Index,Phigh,UID
1/1/2018,Proppant,Proppant Price Index,Anadarko,77.80905012,100,116.2096588,1118111801
2/1/2018,Proppant,Proppant Price Index,Anadarko,78.55797564,101.9798419,118.1047234,1118111802
3/1/2018,Proppant,Proppant Price Index,Anadarko,79.40832557,101.9659862,118.4240358,1118111803
4/1/2018,Proppant,Proppant Price Index,Anadarko,79.81275362,101.2673842,118.0947484,1118111804
5/1/2018,Proppant,Proppant Price Index,Anadarko,80.54928952,98.57196323,115.3997567,1118111805
6/1/2018,Proppant,Proppant Price Index,Anadarko,76.88003094,92.878685,108.6762342,1118111806
7/1/2018,Proppant,Proppant Price Index,Anadarko,75.18369267,89.89133892,105.0444625,1118111807
8/1/2018,Proppant,Proppant Price Index,Anadarko,74.34612724,87.10389326,102.3414381,1118111808
9/1/2018,Proppant,Proppant Price Index,Anadarko,74.65508891,86.3509482,100.9653457,1118111809
10/1/2018,Proppant,Proppant Price Index,Anadarko,73.28205611,84.03234513,97.35927919,1118111810
11/1/2018,Proppant,Proppant Price Index,Anadarko,74.56196616,83.63999273,97.25473652,1118111811
12/1/2018,Proppant,Proppant Price Index,Anadarko,70.18697181,79.03610391,92.95147759,1118111812
1/1/2019,Proppant,Proppant Price Index,Anadarko,67.7888021,76.53473262,89.59816756,1118111901
2/1/2019,Proppant,Proppant Price Index,Anadarko,66.44032339,75.1023671,87.12526684,1118111902
3/1/2019,Proppant,Proppant Price Index,Anadarko,64.80549652,73.02762636,84.98806542,1118111903
4/1/2019,Proppant,Proppant Price Index,Anadarko,61.25930562,73.37855353,85.32044011,1118111904
5/1/2019,Proppant,Proppant Price Index,Anadarko,60.49995081,71.99175913,84.1024022,1118111905
6/1/2019,Proppant,Proppant Price Index,Anadarko,58.58555694,68.89530561,82.84310044,1118111906
7/1/2019,Proppant,Proppant Price Index,Anadarko,57.7807593,67.39755451,80.73704081,1118111907
8/1/2019,Proppant,Proppant Price Index,Anadarko,58.07140113,66.29595627,77.15732134,1118111908
9/1/2019,Proppant,Proppant Price Index,Anadarko,56.97892253,63.82441605,73.94782887,1118111909
10/1/2019,Proppant,Proppant Price Index,Anadarko,53.57256337,60.97037718,71.68653499,1118111910
11/1/2019,Proppant,Proppant Price Index,Anadarko,49.004309,54.97600445,66.50177727,1118111911
12/1/2019,Proppant,Proppant Price Index,Anadarko,46.05322987,50.98338191,62.80121908,1118111912
1/1/2020,Proppant,Proppant Price Index,Anadarko,43.98591955,49.55750429,62.1643473,1118112001
2/1/2020,Proppant,Proppant Price Index,Anadarko,43.72049117,50.91659947,61.89102999,1118112002
3/1/2020,Proppant,Proppant Price Index,Anadarko,41.96032787,48.20837334,58.85656563,1118112003
4/1/2020,Proppant,Proppant Price Index,Anadarko,39.56447528,44.84015524,54.7560495,1118112004
5/1/2020,Proppant,Proppant Price Index,Anadarko,37.86812146,42.91186719,51.00618407,1118112005
6/1/2020,Proppant,Proppant Price Index,Anadarko,37.811881,41.93265257,49.17794038,1118112006
7/1/2020,Proppant,Proppant Price Index,Anadarko,35.66779708,40.23921381,47.48607803,1118112007
8/1/2020,Proppant,Proppant Price Index,Anadarko,32.54009796,38.89008767,44.78087126,1118112008
9/1/2020,Proppant,Proppant Price Index,Anadarko,30.47648388,37.77369705,42.92139367,1118112009
10/1/2020,Proppant,Proppant Price Index,Anadarko,29.83282138,37.09024431,42.97419722,1118112010
11/1/2020,Proppant,Proppant Price Index,Anadarko,31.32061619,37.44012257,43.82816044,1118112011
12/1/2020,Proppant,Proppant Price Index,Anadarko,30.72297877,36.8537705,44.55235879,1118112012
1/1/2021,Proppant,Proppant Price Index,Anadarko,30.11881727,36.18545366,43.33766233,1118112101
2/1/2021,Proppant,Proppant Price Index,Anadarko,29.5902077,35.63754436,42.30631717,1118112102
3/1/2021,Proppant,Proppant Price Index,Anadarko,29.20118183,35.27063319,41.30618943,1118112103
4/1/2021,Proppant,Proppant Price Index,Anadarko,28.91543015,34.90556681,40.81460464,1118112104
5/1/2021,Proppant,Proppant Price Index,Anadarko,28.28631778,34.42885657,39.77726622,1118112105
6/1/2021,Proppant,Proppant Price Index,Anadarko,27.78997273,33.83027814,39.33882297,1118112106
7/1/2021,Proppant,Proppant Price Index,Anadarko,27.56520165,33.60220533,38.99526756,1118112107
1/1/2018,Proppant,100-Mesh,Anadarko,70.55555556,100,125,1118121801
2/1/2018,Proppant,100-Mesh,Anadarko,71.66666667,102.5,125,1118121802
3/1/2018,Proppant,100-Mesh,Anadarko,70.41666667,103.125,127.0833333,1118121803
4/1/2018,Proppant,100-Mesh,Anadarko,70.3125,100.2604167,124.4791667,1118121804
5/1/2018,Proppant,100-Mesh,Anadarko,70.65104167,95.61197917,120.4427083,1118121805
6/1/2018,Proppant,100-Mesh,Anadarko,70.90494792,92.54231771,112.8320313,1118121806
7/1/2018,Proppant,100-Mesh,Anadarko,69.8453776,89.82340495,107.5406901,1118121807
8/1/2018,Proppant,100-Mesh,Anadarko,69.8840332,86.11755371,103.9888509,1118121808
9/1/2018,Proppant,100-Mesh,Anadarko,69.49635824,85.00483195,102.5749715,1118121809
10/1/2018,Proppant,100-Mesh,Anadarko,70.45560201,84.5869573,99.01456197,1118121810
11/1/2018,Proppant,100-Mesh,Anadarko,71.17503484,82.19021797,98.84425481,1118121811
12/1/2018,Proppant,100-Mesh,Anadarko,68.38127613,79.14266348,96.21652444,1118121812
1/1/2019,Proppant,100-Mesh,Anadarko,66.2859571,76.02366428,95.07906,1118121901
2/1/2019,Proppant,100-Mesh,Anadarko,64.71446782,75.35108154,94.50373944,1118121902
3/1/2019,Proppant,100-Mesh,Anadarko,63.53585087,74.01331116,93.60928606,1118121903
4/1/2019,Proppant,100-Mesh,Anadarko,62.65188815,78.42665003,97.29029788,1118121904
5/1/2019,Proppant,100-Mesh,Anadarko,65.73891611,80.90332086,100.0510567,1118121905
6/1/2019,Proppant,100-Mesh,Anadarko,63.76252042,77.34415731,102.1216259,1118121906
7/1/2019,Proppant,100-Mesh,Anadarko,66.35522365,76.54145132,99.50788609,1118121907
8/1/2019,Proppant,100-Mesh,Anadarko,65.5830844,75.93942182,95.4642479,1118121908
9/1/2019,Proppant,100-Mesh,Anadarko,65.00397997,72.77123303,90.34818592,1118121909
10/1/2019,Proppant,100-Mesh,Anadarko,59.16965164,67.71175811,84.42780611,1118121910
11/1/2019,Proppant,100-Mesh,Anadarko,54.89807207,61.61715191,78.73752125,1118121911
12/1/2019,Proppant,100-Mesh,Anadarko,51.17355405,56.21286394,73.63647427,1118121912
1/1/2020,Proppant,100-Mesh,Anadarko,48.1718322,55.49298128,73.9773557,1118122001
2/1/2020,Proppant,100-Mesh,Anadarko,48.62887415,60.78640263,75.06635011,1118122002
3/1/2020,Proppant,100-Mesh,Anadarko,45.63832228,56.83980197,69.63309592,1118122003
4/1/2020,Proppant,100-Mesh,Anadarko,44.71485282,53.87985148,65.97482194,1118122004
5/1/2020,Proppant,100-Mesh,Anadarko,44.25373221,52.49322194,61.98111645,1118122005
6/1/2020,Proppant,100-Mesh,Anadarko,45.06529916,51.45324979,58.98583734,1118122006
7/1/2020,Proppant,100-Mesh,Anadarko,41.29897437,48.27743734,56.114378,1118122007
8/1/2020,Proppant,100-Mesh,Anadarko,38.47423078,47.49280023,53.9607835,1118122008
9/1/2020,Proppant,100-Mesh,Anadarko,36.35567308,46.63811869,52.13725429,1118122009
10/1/2020,Proppant,100-Mesh,Anadarko,34.76675481,45.64216926,51.60294072,1118122010
11/1/2020,Proppant,100-Mesh,Anadarko,35.76256611,44.85662695,52.03553887,1118122011
12/1/2020,Proppant,100-Mesh,Anadarko,35.05109125,44.41150313,53.60998749,1118122012
1/1/2021,Proppant,100-Mesh,Anadarko,34.83831844,43.99612735,52.08249062,1118122101
2/1/2021,Proppant,100-Mesh,Anadarko,34.67873883,43.68459551,50.93686796,1118122102
3/1/2021,Proppant,100-Mesh,Anadarko,34.55905412,43.45094663,50.07765097,1118122103
4/1/2021,Proppant,100-Mesh,Anadarko,34.46929059,43.27570998,49.43323823,1118122104
5/1/2021,Proppant,100-Mesh,Anadarko,34.40196794,43.14428248,48.94992867,1118122105
6/1/2021,Proppant,100-Mesh,Anadarko,33.92647596,42.46237853,48.5874465,1118122106
7/1/2021,Proppant,100-Mesh,Anadarko,33.8531903,42.33983945,48.31558488,1118122107
1/1/2018,Proppant,40/70,Anadarko,74.51604999,100,120.0686106,1118131801
2/1/2018,Proppant,40/70,Anadarko,77.32786082,101.3415829,123.7441803,1118131802
3/1/2018,Proppant,40/70,Anadarko,80.96820632,102.6540676,123.4378829,1118131803
4/1/2018,Proppant,40/70,Anadarko,79.10400331,102.7195387,124.7396471,1118131804
5/1/2018,Proppant,40/70,Anadarko,76.17436367,97.25528746,119.8350588,1118131805
6/1/2018,Proppant,40/70,Anadarko,72.13934908,90.95175719,113.2896732,1118131806
7/1/2018,Proppant,40/70,Anadarko,69.11308814,86.22410949,108.380634,1118131807
8/1/2018,Proppant,40/70,Anadarko,65.61820253,81.20814583,102.7875583,1118131808
9/1/2018,Proppant,40/70,Anadarko,61.47473987,75.61941493,96.21796595,1118131809
10/1/2018,Proppant,40/70,Anadarko,58.36714287,71.42786676,91.29077169,1118131810
11/1/2018,Proppant,40/70,Anadarko,55.41466124,67.53806498,86.62539315,1118131811
12/1/2018,Proppant,40/70,Anadarko,53.8220839,65.3668543,84.0963421,1118131812
1/1/2019,Proppant,40/70,Anadarko,52.62765089,64.34001453,79.91861776,1118131901
2/1/2019,Proppant,40/70,Anadarko,54.78561198,65.40766956,77.98262092,1118131902
3/1/2019,Proppant,40/70,Anadarko,57.93557017,67.43360074,78.70259911,1118131903
4/1/2019,Proppant,40/70,Anadarko,55.58412065,68.34045417,79.24258276,1118131904
5/1/2019,Proppant,40/70,Anadarko,53.02109711,65.03872705,75.97200078,1118131905
6/1/2019,Proppant,40/70,Anadarko,51.09882945,61.94983676,72.90646934,1118131906
7/1/2019,Proppant,40/70,Anadarko,49.9236075,61.36885474,72.2409073,1118131907
8/1/2019,Proppant,40/70,Anadarko,51.22302908,59.80696451,67.96100393,1118131908
