Date,Index Category,Sub Category,Region,Plow,Index,Phigh,UID
01-01-2018,Proppant,Proppant Price Index,Anadarko,77.80905012,100,116.2096588,1118111801
02-01-2018,Proppant,Proppant Price Index,Anadarko,78.55797564,101.9798419,118.1047234,1118111802
03-01-2018,Proppant,Proppant Price Index,Anadarko,79.40832557,101.9659861,118.4240358,1118111803
04-01-2018,Proppant,Proppant Price Index,Anadarko,79.81275359,101.2673842,118.0947484,1118111804
05-01-2018,Proppant,Proppant Price Index,Anadarko,80.54928949,98.57196318,115.3997566,1118111805
06-01-2018,Proppant,Proppant Price Index,Anadarko,76.8800309,92.87868495,108.6762341,1118111806
07-01-2018,Proppant,Proppant Price Index,Anadarko,75.18369263,89.89133888,105.0444625,1118111807
08-01-2018,Proppant,Proppant Price Index,Anadarko,74.3461272,87.10389321,102.341438,1118111808
09-01-2018,Proppant,Proppant Price Index,Anadarko,74.65508887,86.35094815,100.9653456,1118111809
10-01-2018,Proppant,Proppant Price Index,Anadarko,73.28205607,84.03234508,97.35927914,1118111810
11-01-2018,Proppant,Proppant Price Index,Anadarko,74.56196613,83.6399927,97.25473649,1118111811
12-01-2018,Proppant,Proppant Price Index,Anadarko,70.18697179,79.03610389,92.95147757,1118111812
01-01-2019,Proppant,Proppant Price Index,Anadarko,67.78880208,76.5347326,89.59816753,1118111901
02-01-2019,Proppant,Proppant Price Index,Anadarko,66.44032339,75.10236709,87.12526683,1118111902
03-01-2019,Proppant,Proppant Price Index,Anadarko,64.80549651,73.02762635,84.98806541,1118111903
04-01-2019,Proppant,Proppant Price Index,Anadarko,61.25930561,73.37855352,85.3204401,1118111904
05-01-2019,Proppant,Proppant Price Index,Anadarko,60.4999508,71.99175912,84.10240219,1118111905
06-01-2019,Proppant,Proppant Price Index,Anadarko,58.58555695,68.89530562,82.84310045,1118111906
07-01-2019,Proppant,Proppant Price Index,Anadarko,57.7807593,67.39755451,80.73704081,1118111907
08-01-2019,Proppant,Proppant Price Index,Anadarko,58.07140112,66.29595627,77.15732134,1118111908
09-01-2019,Proppant,Proppant Price Index,Anadarko,56.97892252,63.82441605,73.94782887,1118111909
10-01-2019,Proppant,Proppant Price Index,Anadarko,53.57256335,60.97037716,71.68653497,1118111910
11-01-2019,Proppant,Proppant Price Index,Anadarko,49.00430899,54.97600444,66.50177726,1118111911
12-01-2019,Proppant,Proppant Price Index,Anadarko,46.05322987,50.98338191,62.80121909,1118111912
01-01-2020,Proppant,Proppant Price Index,Anadarko,43.98591955,49.55750429,62.1643473,1118112001
02-01-2020,Proppant,Proppant Price Index,Anadarko,43.72049117,50.91659947,61.89102998,1118112002
03-01-2020,Proppant,Proppant Price Index,Anadarko,41.96032788,48.20837335,58.85656564,1118112003
04-01-2020,Proppant,Proppant Price Index,Anadarko,39.56447529,44.84015524,54.75604951,1118112004
05-01-2020,Proppant,Proppant Price Index,Anadarko,37.86812146,42.91186719,51.00618407,1118112005
06-01-2020,Proppant,Proppant Price Index,Anadarko,37.811881,41.93265257,49.17794037,1118112006
07-01-2020,Proppant,Proppant Price Index,Anadarko,35.66779708,40.23921382,47.48607803,1118112007
08-01-2020,Proppant,Proppant Price Index,Anadarko,32.54009796,38.89008767,44.78087126,1118112008
09-01-2020,Proppant,Proppant Price Index,Anadarko,30.47648388,37.77369705,42.92139367,1118112009
10-01-2020,Proppant,Proppant Price Index,Anadarko,29.83282138,37.0902443,42.97419721,1118112010
11-01-2020,Proppant,Proppant Price Index,Anadarko,31.32061621,37.44012258,43.82816045,1118112011
12-01-2020,Proppant,Proppant Price Index,Anadarko,30.72297878,36.85377051,44.55235879,1118112012
01-01-2021,Proppant,Proppant Price Index,Anadarko,30.07315154,36.18449726,44.27544068,1118112101
02-01-2021,Proppant,Proppant Price Index,Anadarko,29.70784406,35.64040462,44.19447325,1118112102
03-01-2021,Proppant,Proppant Price Index,Anadarko,29.25479393,35.29226899,44.13318916,1118112103
04-01-2021,Proppant,Proppant Price Index,Anadarko,28.97778358,34.92795114,43.98692928,1118112104
05-01-2021,Proppant,Proppant Price Index,Anadarko,28.39349012,34.45729623,43.66470598,1118112105
06-01-2021,Proppant,Proppant Price Index,Anadarko,28.87535588,34.89250545,43.92827481,1118112106
01-01-2018,Proppant,100-Mesh,Anadarko,70.55555556,100,125,1118121801
02-01-2018,Proppant,100-Mesh,Anadarko,71.66666667,102.5,125,1118121802
03-01-2018,Proppant,100-Mesh,Anadarko,70.41666667,103.125,127.0833333,1118121803
04-01-2018,Proppant,100-Mesh,Anadarko,70.3125,100.2604167,124.4791667,1118121804
05-01-2018,Proppant,100-Mesh,Anadarko,70.65104167,95.61197917,120.4427083,1118121805
06-01-2018,Proppant,100-Mesh,Anadarko,70.90494792,92.54231771,112.8320313,1118121806
07-01-2018,Proppant,100-Mesh,Anadarko,69.8453776,89.82340495,107.5406901,1118121807
08-01-2018,Proppant,100-Mesh,Anadarko,69.8840332,86.11755371,103.9888509,1118121808
09-01-2018,Proppant,100-Mesh,Anadarko,69.49635824,85.00483195,102.5749715,1118121809
10-01-2018,Proppant,100-Mesh,Anadarko,70.45560201,84.5869573,99.01456197,1118121810
11-01-2018,Proppant,100-Mesh,Anadarko,71.17503484,82.19021797,98.84425481,1118121811
12-01-2018,Proppant,100-Mesh,Anadarko,68.38127613,79.14266348,96.21652444,1118121812
01-01-2019,Proppant,100-Mesh,Anadarko,66.2859571,76.02366428,95.07906,1118121901
02-01-2019,Proppant,100-Mesh,Anadarko,64.71446782,75.35108154,94.50373944,1118121902
03-01-2019,Proppant,100-Mesh,Anadarko,63.53585087,74.01331116,93.60928606,1118121903
04-01-2019,Proppant,100-Mesh,Anadarko,62.65188815,78.42665003,97.29029788,1118121904
05-01-2019,Proppant,100-Mesh,Anadarko,65.73891611,80.90332086,100.0510567,1118121905
06-01-2019,Proppant,100-Mesh,Anadarko,63.76252042,77.34415731,102.1216259,1118121906
07-01-2019,Proppant,100-Mesh,Anadarko,66.35522365,76.54145132,99.50788609,1118121907
08-01-2019,Proppant,100-Mesh,Anadarko,65.5830844,75.93942182,95.4642479,1118121908
09-01-2019,Proppant,100-Mesh,Anadarko,65.00397997,72.77123303,90.34818592,1118121909
10-01-2019,Proppant,100-Mesh,Anadarko,59.16965164,67.71175811,84.42780611,1118121910
11-01-2019,Proppant,100-Mesh,Anadarko,54.89807207,61.61715191,78.73752125,1118121911
12-01-2019,Proppant,100-Mesh,Anadarko,51.17355405,56.21286394,73.63647427,1118121912
01-01-2020,Proppant,100-Mesh,Anadarko,48.1718322,55.49298128,73.9773557,1118122001
02-01-2020,Proppant,100-Mesh,Anadarko,48.62887415,60.78640263,75.06635011,1118122002
03-01-2020,Proppant,100-Mesh,Anadarko,45.63832228,56.83980197,69.63309592,1118122003
04-01-2020,Proppant,100-Mesh,Anadarko,44.71485282,53.87985148,65.97482194,1118122004
05-01-2020,Proppant,100-Mesh,Anadarko,44.25373221,52.49322194,61.98111645,1118122005
06-01-2020,Proppant,100-Mesh,Anadarko,45.06529916,51.45324979,58.98583734,1118122006
07-01-2020,Proppant,100-Mesh,Anadarko,41.29897437,48.27743734,56.114378,1118122007
08-01-2020,Proppant,100-Mesh,Anadarko,38.47423078,47.49280023,53.9607835,1118122008
09-01-2020,Proppant,100-Mesh,Anadarko,36.35567308,46.63811869,52.13725429,1118122009
10-01-2020,Proppant,100-Mesh,Anadarko,34.76675481,45.64216926,51.60294072,1118122010
11-01-2020,Proppant,100-Mesh,Anadarko,35.76256611,44.85662695,52.03553887,1118122011
12-01-2020,Proppant,100-Mesh,Anadarko,35.05109125,44.41150313,53.60998749,1118122012
01-01-2021,Proppant,100-Mesh,Anadarko,34.76054066,43.99449841,53.67971284,1118122101
02-01-2021,Proppant,100-Mesh,Anadarko,34.86670179,43.68917513,54.05608093,1118122102
03-01-2021,Proppant,100-Mesh,Anadarko,34.64925474,43.48294978,54.49267798,1118122103
04-01-2021,Proppant,100-Mesh,Anadarko,34.57619002,43.31062594,54.60922042,1118122104
05-01-2021,Proppant,100-Mesh,Anadarko,34.56040041,43.18556391,54.78579048,1118122105
06-01-2021,Proppant,100-Mesh,Anadarko,34.59528172,43.32637988,54.62922963,1118122106
01-01-2018,Proppant,40/70,Anadarko,74.51604999,100,120.0686106,1118131801
02-01-2018,Proppant,40/70,Anadarko,77.32786082,101.3415829,123.7441803,1118131802
03-01-2018,Proppant,40/70,Anadarko,80.96820632,102.6540676,123.4378829,1118131803
04-01-2018,Proppant,40/70,Anadarko,79.10400331,102.7195387,124.7396471,1118131804
05-01-2018,Proppant,40/70,Anadarko,76.17436367,97.25528746,119.8350588,1118131805
06-01-2018,Proppant,40/70,Anadarko,72.13934908,90.95175719,113.2896732,1118131806
07-01-2018,Proppant,40/70,Anadarko,69.11308814,86.22410949,108.380634,1118131807
08-01-2018,Proppant,40/70,Anadarko,65.61820253,81.20814583,102.7875583,1118131808
09-01-2018,Proppant,40/70,Anadarko,61.47473987,75.61941493,96.21796595,1118131809
10-01-2018,Proppant,40/70,Anadarko,58.36714287,71.42786676,91.29077169,1118131810
11-01-2018,Proppant,40/70,Anadarko,55.41466124,67.53806498,86.62539315,1118131811
12-01-2018,Proppant,40/70,Anadarko,53.8220839,65.3668543,84.0963421,1118131812
01-01-2019,Proppant,40/70,Anadarko,52.62765089,64.34001453,79.91861776,1118131901
02-01-2019,Proppant,40/70,Anadarko,54.78561198,65.40766956,77.98262092,1118131902
03-01-2019,Proppant,40/70,Anadarko,57.93557017,67.43360074,78.70259911,1118131903
04-01-2019,Proppant,40/70,Anadarko,55.58412065,68.34045417,79.24258276,1118131904
05-01-2019,Proppant,40/70,Anadarko,53.02109711,65.03872705,75.97200078,1118131905
06-01-2019,Proppant,40/70,Anadarko,51.09882945,61.94983676,72.90646934,1118131906
07-01-2019,Proppant,40/70,Anadarko,49.9236075,61.36885474,72.2409073,1118131907
08-01-2019,Proppant,40/70,Anadarko,51.22302908,59.80696451,67.96100393,1118131908
09-01-2019,Proppant,40/70,Anadarko,50.65487697,58.80775408,66.72703545,1118131909
10-01-2019,Proppant,40/70,Anadarko,47.18008201,55.1325247,64.37999847,1118131910
11-01-2019,Proppant,40/70,Anadarko,45.30909973,52.06980519,62.22153401,1118131911
12-01-2019,Proppant,40/70,Anadarko,42.25185666,48.24127817,58.61175208,1118131912
01-01-2020,Proppant,40/70,Anadarko,41.61293072,47.20766777,58.29353594,1118132001
02-01-2020,Proppant,40/70,Anadarko,41.13373626,45.71776586,57.12577149,1118132002
03-01-2020,Proppant,40/70,Anadarko,40.77434042,44.3961411,55.98449034,1118132003
04-01-2020,Proppant,40/70,Anadarko,39.15708465,42.48603011,53.93396933,1118132004
05-01-2020,Proppant,40/70,Anadarko,36.71895291,40.44085191,51.59970513,1118132005
06-01-2020,Proppant,40/70,Anadarko,36.15638368,39.62166238,50.77810932,1118132006
07-01-2020,Proppant,40/70,Anadarko,35.29883368,38.7350058,49.80796871,1118132007
08-01-2020,Proppant,40/70,Anadarko,34.5240767,38.01329162,49.00662498,1118132008
09-01-2020,Proppant,40/70,Anadarko,34.17594631,37.60057529,48.57275728,1118132009
10-01-2020,Proppant,40/70,Anadarko,33.80342179,37.22423242,48.1605092,1118132010
11-01-2020,Proppant,40/70,Anadarko,33.5206671,36.94365591,47.85350798,1118132011
12-01-2020,Proppant,40/70,Anadarko,33.34798419,36.75437164,47.6507496,1118132012
01-01-2021,Proppant,40/70,Anadarko,33.19333703,36.59774948,47.47962418,1118132101
02-01-2021,Proppant,40/70,Anadarko,33.08098062,36.48300613,47.35482036,1118132102
03-01-2021,Proppant,40/70,Anadarko,31.70242867,35.0196915,45.31763451,1118132103
04-01-2021,Proppant,40/70,Anadarko,31.53016149,34.83946918,45.08428703,1118132104
05-01-2021,Proppant,40/70,Anadarko,31.25795813,34.55187905,44.69410947,1118132105
06-01-2021,Proppant,40/70,Anadarko,31.49684943,34.80367991,45.03201034,1118132106
01-01-2018,Proppant,Proppant Price Index,Appalachian,90.79304311,100,119.3785449,1218111801
02-01-2018,Proppant,Proppant Price Index,Appalachian,91.04420101,99.7803402,119.6383442,1218111802
03-01-2018,Proppant,Proppant Price Index,Appalachian,90.41916537,98.61914457,120.9146807,1218111803
04-01-2018,Proppant,Proppant Price Index,Appalachian,89.97475224,97.76375065,120.7283781,1218111804
05-01-2018,Proppant,Proppant Price Index,Appalachian,89.44324712,96.85090908,116.785923,1218111805
06-01-2018,Proppant,Proppant Price Index,Appalachian,89.18572378,97.80966815,115.1024215,1218111806
07-01-2018,Proppant,Proppant Price Index,Appalachian,89.03546014,98.52990181,113.1433841,1218111807
08-01-2018,Proppant,Proppant Price Index,Appalachian,89.36719631,98.08112722,111.7694371,1218111808
09-01-2018,Proppant,Proppant Price Index,Appalachian,88.72251385,97.34352487,109.8003651,1218111809
10-01-2018,Proppant,Proppant Price Index,Appalachian,87.15433269,96.28562066,106.4945996,1218111810
11-01-2018,Proppant,Proppant Price Index,Appalachian,85.48260831,95.10150618,103.0614737,1218111811
12-01-2018,Proppant,Proppant Price Index,Appalachian,83.5390737,91.46145436,98.97486277,1218111812
01-01-2019,Proppant,Proppant Price Index,Appalachian,80.85097129,87.71948607,96.18795681,1218111901
02-01-2019,Proppant,Proppant Price Index,Appalachian,74.56947038,83.95197345,91.57646582,1218111902
03-01-2019,Proppant,Proppant Price Index,Appalachian,69.62851113,78.64158943,87.58915464,1218111903
04-01-2019,Proppant,Proppant Price Index,Appalachian,67.17363258,76.09265756,85.10622634,1218111904
05-01-2019,Proppant,Proppant Price Index,Appalachian,65.384395,74.18095865,82.83310334,1218111905
06-01-2019,Proppant,Proppant Price Index,Appalachian,64.51380759,72.41934829,80.63051471,1218111906
07-01-2019,Proppant,Proppant Price Index,Appalachian,63.40892541,71.1809758,79.12563224,1218111907
08-01-2019,Proppant,Proppant Price Index,Appalachian,62.64671242,70.30645298,78.21310674,1218111908
09-01-2019,Proppant,Proppant Price Index,Appalachian,62.95573543,71.06548624,77.3022782,1218111909
10-01-2019,Proppant,Proppant Price Index,Appalachian,62.00110261,69.31810117,75.71605115,1218111910
11-01-2019,Proppant,Proppant Price Index,Appalachian,61.2747205,69.57846954,75.05007446,1218111911
12-01-2019,Proppant,Proppant Price Index,Appalachian,58.19475698,68.53337256,73.41989574,1218111912
01-01-2020,Proppant,Proppant Price Index,Appalachian,58.19939851,67.71181745,72.14567711,1218112001
02-01-2020,Proppant,Proppant Price Index,Appalachian,58.01020723,67.14008968,71.51210848,1218112002
03-01-2020,Proppant,Proppant Price Index,Appalachian,58.8494849,66.75494035,71.09412701,1218112003
04-01-2020,Proppant,Proppant Price Index,Appalachian,58.64889459,65.92182649,70.73360487,1218112004
05-01-2020,Proppant,Proppant Price Index,Appalachian,58.82344246,65.49233183,69.59568073,1218112005
06-01-2020,Proppant,Proppant Price Index,Appalachian,58.93686186,65.16908286,68.42886068,1218112006
07-01-2020,Proppant,Proppant Price Index,Appalachian,59.14632861,64.55341625,67.01735061,1218112007
08-01-2020,Proppant,Proppant Price Index,Appalachian,59.55225867,64.91834577,66.91171484,1218112008
09-01-2020,Proppant,Proppant Price Index,Appalachian,59.61205651,65.004583,66.62936253,1218112009
10-01-2020,Proppant,Proppant Price Index,Appalachian,57.03387653,63.99189382,65.76237968,1218112010
11-01-2020,Proppant,Proppant Price Index,Appalachian,54.37089175,61.40724091,64.22563912,1218112011
12-01-2020,Proppant,Proppant Price Index,Appalachian,53.71436266,61.38274632,64.02832466,1218112012
01-01-2021,Proppant,Proppant Price Index,Appalachian,53.11065188,60.75156008,63.67086179,1218112101
02-01-2021,Proppant,Proppant Price Index,Appalachian,52.24310238,60.24536224,62.98769878,1218112102
03-01-2021,Proppant,Proppant Price Index,Appalachian,52.27937594,59.60453141,62.5842571,1218112103
04-01-2021,Proppant,Proppant Price Index,Appalachian,52.59201943,59.51476739,62.65147877,1218112104
05-01-2021,Proppant,Proppant Price Index,Appalachian,52.45531084,59.29976478,62.48189709,1218112105
06-01-2021,Proppant,Proppant Price Index,Appalachian,52.4422354,59.47302119,62.57254432,1218112106
01-01-2018,Proppant,100-Mesh,Appalachian,94.47619048,100,125.8412698,1218121801
02-01-2018,Proppant,100-Mesh,Appalachian,94.67857143,100,125.5654762,1218121802
03-01-2018,Proppant,100-Mesh,Appalachian,94.83035714,100,125.6160714,1218121803
04-01-2018,Proppant,100-Mesh,Appalachian,94.33705357,100,125.9665179,1218121804
05-01-2018,Proppant,100-Mesh,Appalachian,94.41350446,100,124.8320313,1218121805
06-01-2018,Proppant,100-Mesh,Appalachian,93.35477121,100,123.3115234,1218121806
07-01-2018,Proppant,100-Mesh,Appalachian,92.33750698,100,121.5014997,1218121807
08-01-2018,Proppant,100-Mesh,Appalachian,92.55670166,100,120.1439819,1218121808
09-01-2018,Proppant,100-Mesh,Appalachian,89.95324053,98.66071429,116.8937007,1218121809
10-01-2018,Proppant,100-Mesh,Appalachian,88.00064468,97.65625,112.223847,1218121810
11-01-2018,Proppant,100-Mesh,Appalachian,85.42012637,96.90290179,107.8285995,1218121811
12-01-2018,Proppant,100-Mesh,Appalachian,82.81509478,91.42717634,103.1928782,1218121812
01-01-2019,Proppant,100-Mesh,Appalachian,79.96846394,87.32038225,100.1625158,1218121901
02-01-2019,Proppant,100-Mesh,Appalachian,73.3692051,83.34742955,94.09510114,1218121902
03-01-2019,Proppant,100-Mesh,Appalachian,67.94877882,78.13557216,88.42846871,1218121903
04-01-2019,Proppant,100-Mesh,Appalachian,65.06872697,75.34275055,85.29456582,1218121904
05-01-2019,Proppant,100-Mesh,Appalachian,62.90868809,73.24813434,82.94413865,1218121905
06-01-2019,Proppant,100-Mesh,Appalachian,62.20830178,70.56110076,81.18131827,1218121906
07-01-2019,Proppant,100-Mesh,Appalachian,60.76336919,68.54582557,79.85920299,1218121907
08-01-2019,Proppant,100-Mesh,Appalachian,59.41181261,67.03436917,78.86761653,1218121908
09-01-2019,Proppant,100-Mesh,Appalachian,60.18385946,69.24899117,78.12392668,1218121909
10-01-2019,Proppant,100-Mesh,Appalachian,58.97718031,65.77602909,76.22687358,1218121910
11-01-2019,Proppant,100-Mesh,Appalachian,58.07217094,66.96595039,75.6969409,1218121911
12-01-2019,Proppant,100-Mesh,Appalachian,53.59877107,67.85839136,75.52270568,1218121912
01-01-2020,Proppant,100-Mesh,Appalachian,53.03389973,67.63486495,74.49917211,1218122001
02-01-2020,Proppant,100-Mesh,Appalachian,52.61024622,67.46722014,74.4011648,1218122002
03-01-2020,Proppant,100-Mesh,Appalachian,54.41304181,67.34148653,74.10444503,1218122003
04-01-2020,Proppant,100-Mesh,Appalachian,54.64906707,66.35432919,73.43547663,1218122004
05-01-2020,Proppant,100-Mesh,Appalachian,55.71894316,66.50681832,72.26410747,1218122005
06-01-2020,Proppant,100-Mesh,Appalachian,56.07492166,65.72832802,70.04629489,1218122006
07-01-2020,Proppant,100-Mesh,Appalachian,57.23476267,65.1444603,68.38293545,1218122007
08-01-2020,Proppant,100-Mesh,Appalachian,57.32339343,64.70655951,67.13541588,1218122008
09-01-2020,Proppant,100-Mesh,Appalachian,57.27825936,64.37813392,66.19977619,1218122009
10-01-2020,Proppant,100-Mesh,Appalachian,52.47431952,62.68092187,64.15876072,1218122010
11-01-2020,Proppant,100-Mesh,Appalachian,48.28431107,59.28747712,62.57219554,1218122011
12-01-2020,Proppant,100-Mesh,Appalachian,47.28466187,58.86292927,61.43807522,1218122012
01-01-2021,Proppant,100-Mesh,Appalachian,46.62421069,58.54451838,60.95578856,1218122101
02-01-2021,Proppant,100-Mesh,Appalachian,46.1288723,58.78562093,60.59407356,1218122102
03-01-2021,Proppant,100-Mesh,Appalachian,47.5430828,58.64650736,60.84734089,1218122103
04-01-2021,Proppant,100-Mesh,Appalachian,48.1573121,58.5954956,60.687589,1218122104
05-01-2021,Proppant,100-Mesh,Appalachian,48.39476979,58.62833466,60.62605881,1218122105
06-01-2021,Proppant,100-Mesh,Appalachian,48.03172156,58.62344587,60.72032957,1218122106
01-01-2018,Proppant,40/70,Appalachian,84.59302326,100,102.6511628,1218131801
02-01-2018,Proppant,40/70,Appalachian,85.24709302,100.0726744,102.7412791,1218131802
03-01-2018,Proppant,40/70,Appalachian,84.21148256,100.1271802,103.21875,1218131803
04-01-2018,Proppant,40/70,Appalachian,84.52489099,99.95003634,102.4867369,1218131804
05-01-2018,Proppant,40/70,Appalachian,83.45180778,98.50903888,101.9377271,1218131805
06-01-2018,Proppant,40/70,Appalachian,83.73711165,98.30038381,101.5259697,1218131806
07-01-2018,Proppant,40/70,Appalachian,84.1691128,98.79796228,101.2171517,1218131807
08-01-2018,Proppant,40/70,Appalachian,84.27509042,97.20893682,100.9855382,1218131808
09-01-2018,Proppant,40/70,Appalachian,85.00864339,96.23519099,100.8118281,1218131809
10-01-2018,Proppant,40/70,Appalachian,83.37857557,94.9816258,99.5914292,1218131810
11-01-2018,Proppant,40/70,Appalachian,82.1560247,94.04145191,98.24008353,1218131811
12-01-2018,Proppant,40/70,Appalachian,79.93097201,91.24329823,95.48238823,1218131812
01-01-2019,Proppant,40/70,Appalachian,78.2621825,88.0545667,92.32400047,1218131901
02-01-2019,Proppant,40/70,Appalachian,72.23806129,84.57290177,87.7749771,1218131902
03-01-2019,Proppant,40/70,Appalachian,67.71997039,77.99362981,84.36320957,1218131903
04-01-2019,Proppant,40/70,Appalachian,65.35393128,74.84696655,81.80438392,1218131904
05-01-2019,Proppant,40/70,Appalachian,63.57940195,72.4869691,79.88526468,1218131905
06-01-2019,Proppant,40/70,Appalachian,62.24850495,71.80708729,78.44592526,1218131906
07-01-2019,Proppant,40/70,Appalachian,61.2503322,71.73322244,77.36642069,1218131907
08-01-2019,Proppant,40/70,Appalachian,60.9813538,71.2417773,76.55679226,1218131908
09-01-2019,Proppant,40/70,Appalachian,60.99764326,71.09121669,75.94957094,1218131909
10-01-2019,Proppant,40/70,Appalachian,60.13776733,70.54224973,74.62206193,1218131910
11-01-2019,Proppant,40/70,Appalachian,59.71088363,70.13052451,73.84445342,1218131911
12-01-2019,Proppant,40/70,Appalachian,60.04479063,69.82173059,72.82520053,1218131912
01-01-2020,Proppant,40/70,Appalachian,61.38533716,68.71804213,71.62471435,1218132001
02-01-2020,Proppant,40/70,Appalachian,62.39074706,67.89027578,70.50632646,1218132002
03-01-2020,Proppant,40/70,Appalachian,63.14480448,67.26945102,69.66753554,1218132003
04-01-2020,Proppant,40/70,Appalachian,62.83825452,66.80383245,70.12855863,1218132004
05-01-2020,Proppant,40/70,Appalachian,62.60834205,66.67264178,70.03827944,1218132005
06-01-2020,Proppant,40/70,Appalachian,62.4359077,66.57424878,69.53452353,1218132006
07-01-2020,Proppant,40/70,Appalachian,62.30658194,66.71847728,68.93868335,1218132007
08-01-2020,Proppant,40/70,Appalachian,62.20958762,66.82664866,68.78250088,1218132008
09-01-2020,Proppant,40/70,Appalachian,62.13684188,66.68975394,68.54424,1218132009
10-01-2020,Proppant,40/70,Appalachian,60.33809652,65.93301313,68.34939447,1218132010
11-01-2020,Proppant,40/70,Appalachian,59.64310728,64.71138775,68.25440158,1218132011
12-01-2020,Proppant,40/70,Appalachian,59.12186534,64.44923849,68.15444603,1218132012
01-01-2021,Proppant,40/70,Appalachian,58.17301238,62.89652189,67.13138685,1218132101
02-01-2021,Proppant,40/70,Appalachian,57.46137266,61.73198444,66.36409246,1218132102
03-01-2021,Proppant,40/70,Appalachian,57.1136167,61.31061624,66.28586005,1218132103
04-01-2021,Proppant,40/70,Appalachian,56.72881718,60.6932335,65.89569348,1218132104
05-01-2021,Proppant,40/70,Appalachian,56.46088129,60.28042254,65.65831727,1218132105
06-01-2021,Proppant,40/70,Appalachian,56.76777172,60.76142409,65.9466236,1218132106
01-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,70.6986959,100,169.4437342,1318111801
02-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,70.578556,98.84098119,169.6728367,1318111802
03-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,72.43002604,102.8530107,176.3562038,1318111803
04-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,71.67295028,102.1539583,180.1554241,1318111804
05-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,70.36431147,102.2445092,180.6057188,1318111805
06-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,70.08457973,105.5727287,180.548212,1318111806
07-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,71.19116511,108.2792107,173.1936459,1318111807
08-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,69.49281181,105.6606521,167.9738197,1318111808
09-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,69.08827003,106.6539616,162.8132992,1318111809
10-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,69.25523206,108.6551379,156.5397891,1318111810
11-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,68.98262968,106.3241377,149.5350316,1318111811
12-01-2018,Proppant,Proppant Price Index,Ark-La-Tx,68.61150545,100.9889996,143.0640444,1318111812
01-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,72.05888572,100.0359297,138.4636654,1318111901
02-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,74.99734064,100.7760609,134.2199063,1318111902
03-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,81.5386578,102.4325508,130.1829368,1318111903
04-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,86.66729246,105.067282,128.4118777,1318111904
05-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,91.88832943,110.2295276,129.000831,1318111905
06-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,94.59245095,113.8648491,129.1271885,1318111906
07-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,98.13276242,118.3027327,131.6737291,1318111907
08-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,99.59836971,119.7135876,133.9248554,1318111908
09-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,100.3990579,119.0552056,132.5789932,1318111909
10-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,100.742606,117.8236952,131.8611967,1318111910
11-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,99.83773605,115.9921282,130.9750339,1318111911
12-01-2019,Proppant,Proppant Price Index,Ark-La-Tx,98.56808011,112.5368566,126.3455881,1318111912
01-01-2020,Proppant,Proppant Price Index,Ark-La-Tx,94.69000597,107.867615,122.6093299,1318112001
02-01-2020,Proppant,Proppant Price Index,Ark-La-Tx,90.0166394,101.2005327,117.3392861,1318112002
