Date_x,Index Category_x,Sub Category_x,Region_x,Index_old,Index_new,Change,Result
8/1/2019,Proppant,Proppant Price Index,Ark-La-Tx,,,,
9/1/2019,Proppant,Proppant Price Index,Ark-La-Tx,,,,
10/1/2019,Proppant,Proppant Price Index,Ark-La-Tx,,,,
11/1/2019,Proppant,Proppant Price Index,Ark-La-Tx,,,,
12/1/2019,Proppant,Proppant Price Index,Ark-La-Tx,,,,
1/1/2020,Proppant,Proppant Price Index,Ark-La-Tx,,,,
6/1/2020,Proppant,Proppant Price Index,Ark-La-Tx,,,,
7/1/2020,Proppant,Proppant Price Index,Ark-La-Tx,,,,
12/1/2020,Proppant,Proppant Price Index,Ark-La-Tx,,,,
1/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
2/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
3/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
4/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
5/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
6/1/2021,Proppant,Proppant Price Index,Ark-La-Tx,,,,
5/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
6/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
7/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
8/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
9/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
10/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
11/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
12/1/2019,Proppant,100-Mesh,Ark-La-Tx,,,,
1/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
2/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
3/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
4/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
5/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
6/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
7/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
8/1/2020,Proppant,100-Mesh,Ark-La-Tx,,,,
10/1/2020,Proppant,40/70,Ark-La-Tx,,,,
11/1/2020,Proppant,40/70,Ark-La-Tx,,,,
12/1/2020,Proppant,40/70,Ark-La-Tx,,,,
1/1/2021,Proppant,40/70,Ark-La-Tx,,,,
2/1/2021,Proppant,40/70,Ark-La-Tx,,,,
3/1/2021,Proppant,40/70,Ark-La-Tx,,,,
4/1/2021,Proppant,40/70,Ark-La-Tx,,,,
5/1/2021,Proppant,40/70,Ark-La-Tx,,,,
6/1/2021,Proppant,40/70,Ark-La-Tx,,,,
3/1/2021,Chemical,Surfactant,Anadarko,,,,
4/1/2021,Chemical,Surfactant,Anadarko,,,,
5/1/2021,Chemical,Surfactant,Anadarko,,,,
6/1/2021,Chemical,Surfactant,Anadarko,,,,
3/1/2021,Chemical,Scale Inhibitor,Anadarko,,,,
4/1/2021,Chemical,Scale Inhibitor,Anadarko,,,,
5/1/2021,Chemical,Scale Inhibitor,Anadarko,,,,
6/1/2021,Chemical,Scale Inhibitor,Anadarko,,,,
3/1/2021,Chemical,Acid,Anadarko,,,,
1/1/2021,Chemical,Scale Inhibitor,Appalachian,,,,
2/1/2021,Chemical,Scale Inhibitor,Appalachian,,,,
3/1/2021,Chemical,Scale Inhibitor,Appalachian,,,,
4/1/2021,Chemical,Scale Inhibitor,Appalachian,,,,
5/1/2021,Chemical,Scale Inhibitor,Appalachian,,,,
2/1/2021,Chemical,Acid,Appalachian,,,,
3/1/2021,Chemical,Acid,Appalachian,,,,
5/1/2021,Chemical,Corrosion Inhibitor,Ark-La-Tx,,,,
6/1/2021,Chemical,Corrosion Inhibitor,Ark-La-Tx,,,,
6/1/2020,Chemical,Surfactant,Ark-La-Tx,,,,
9/1/2020,Chemical,Surfactant,Ark-La-Tx,,,,
12/1/2020,Chemical,Surfactant,Ark-La-Tx,,,,
1/1/2021,Chemical,Surfactant,Ark-La-Tx,,,,
