Date,Index Category,Sub Category,Region,Index_y,Index_x,Change
1/1/2018,Proppant,Proppant Price Index,Anadarko,100.0,100.0,0.0
2/1/2018,Proppant,Proppant Price Index,Anadarko,101.9798419,101.9798419,0.0
3/1/2018,Proppant,Proppant Price Index,Anadarko,101.9659862,101.9659861,-9.807192780538127e-08
4/1/2018,Proppant,Proppant Price Index,Anadarko,101.2673842,101.2673842,0.0
5/1/2018,Proppant,Proppant Price Index,Anadarko,98.57196323,98.57196318,-5.0724359562857996e-08
6/1/2018,Proppant,Proppant Price Index,Anadarko,92.878685,92.87868495,-5.3833676983435705e-08
7/1/2018,Proppant,Proppant Price Index,Anadarko,89.89133892,89.89133888,-4.4498156993921195e-08
8/1/2018,Proppant,Proppant Price Index,Anadarko,87.10389326,87.10389321,-5.740272839688139e-08
9/1/2018,Proppant,Proppant Price Index,Anadarko,86.3509482,86.35094815,-5.790325678369047e-08
10/1/2018,Proppant,Proppant Price Index,Anadarko,84.03234513,84.03234508,-5.950089454720141e-08
11/1/2018,Proppant,Proppant Price Index,Anadarko,83.63999273,83.6399927,-3.5868020332381605e-08
12/1/2018,Proppant,Proppant Price Index,Anadarko,79.03610391,79.03610389,-2.5304875189429966e-08
1/1/2019,Proppant,Proppant Price Index,Anadarko,76.53473262,76.5347326,-2.613192857069892e-08
2/1/2019,Proppant,Proppant Price Index,Anadarko,75.1023671,75.10236709,-1.3315151185571443e-08
3/1/2019,Proppant,Proppant Price Index,Anadarko,73.02762636,73.02762635,-1.36934393486231e-08
4/1/2019,Proppant,Proppant Price Index,Anadarko,73.37855353,73.37855352,-1.3627970916741325e-08
5/1/2019,Proppant,Proppant Price Index,Anadarko,71.99175913,71.99175912,-1.3890489765866785e-08
6/1/2019,Proppant,Proppant Price Index,Anadarko,68.89530561,68.89530562,1.4514788551758901e-08
7/1/2019,Proppant,Proppant Price Index,Anadarko,67.39755451,67.39755451,0.0
8/1/2019,Proppant,Proppant Price Index,Anadarko,66.29595627,66.29595627,0.0
9/1/2019,Proppant,Proppant Price Index,Anadarko,63.82441605,63.82441605,0.0
10/1/2019,Proppant,Proppant Price Index,Anadarko,60.97037718,60.97037716,-3.280281767377445e-08
11/1/2019,Proppant,Proppant Price Index,Anadarko,54.97600445,54.97600444,-1.8189755565662404e-08
12/1/2019,Proppant,Proppant Price Index,Anadarko,50.98338191,50.98338191,0.0
1/1/2020,Proppant,Proppant Price Index,Anadarko,49.55750429,49.55750429,0.0
2/1/2020,Proppant,Proppant Price Index,Anadarko,50.91659947,50.91659947,0.0
3/1/2020,Proppant,Proppant Price Index,Anadarko,48.20837334,48.20837335,2.0743286139945458e-08
4/1/2020,Proppant,Proppant Price Index,Anadarko,44.84015524,44.84015524,0.0
5/1/2020,Proppant,Proppant Price Index,Anadarko,42.91186719,42.91186719,0.0
6/1/2020,Proppant,Proppant Price Index,Anadarko,41.93265257,41.93265257,0.0
7/1/2020,Proppant,Proppant Price Index,Anadarko,40.23921381,40.23921382,2.4851382216700847e-08
8/1/2020,Proppant,Proppant Price Index,Anadarko,38.89008767,38.89008767,0.0
9/1/2020,Proppant,Proppant Price Index,Anadarko,37.77369705,37.77369705,0.0
10/1/2020,Proppant,Proppant Price Index,Anadarko,37.09024431,37.0902443,-2.6961269778974494e-08
11/1/2020,Proppant,Proppant Price Index,Anadarko,37.44012257,37.44012258,2.6709316472018106e-08
12/1/2020,Proppant,Proppant Price Index,Anadarko,36.8537705,36.85377051,2.713424863614139e-08
1/1/2021,Proppant,Proppant Price Index,Anadarko,36.18545366,36.18449726,-0.0026431208733608542
2/1/2021,Proppant,Proppant Price Index,Anadarko,35.63754436,35.64040462,0.008025329764055032
3/1/2021,Proppant,Proppant Price Index,Anadarko,35.27063319,35.29226899,0.06130464438579737
4/1/2021,Proppant,Proppant Price Index,Anadarko,34.90556681,34.92795114,0.06408715446913037
5/1/2021,Proppant,Proppant Price Index,Anadarko,34.42885657,34.45729623,0.08253595932241413
6/1/2021,Proppant,Proppant Price Index,Anadarko,33.83027814,34.89250545,3.0442850013225526
1/1/2018,Proppant,100-Mesh,Anadarko,100.0,100.0,0.0
2/1/2018,Proppant,100-Mesh,Anadarko,102.5,102.5,0.0
3/1/2018,Proppant,100-Mesh,Anadarko,103.125,103.125,0.0
4/1/2018,Proppant,100-Mesh,Anadarko,100.2604167,100.2604167,0.0
5/1/2018,Proppant,100-Mesh,Anadarko,95.61197917,95.61197917,0.0
6/1/2018,Proppant,100-Mesh,Anadarko,92.54231771,92.54231771,0.0
7/1/2018,Proppant,100-Mesh,Anadarko,89.82340495,89.82340495,0.0
8/1/2018,Proppant,100-Mesh,Anadarko,86.11755371,86.11755371,0.0
9/1/2018,Proppant,100-Mesh,Anadarko,85.00483195,85.00483195,0.0
10/1/2018,Proppant,100-Mesh,Anadarko,84.5869573,84.5869573,0.0
11/1/2018,Proppant,100-Mesh,Anadarko,82.19021797,82.19021797,0.0
12/1/2018,Proppant,100-Mesh,Anadarko,79.14266348,79.14266348,0.0
1/1/2019,Proppant,100-Mesh,Anadarko,76.02366428,76.02366428,0.0
2/1/2019,Proppant,100-Mesh,Anadarko,75.35108154,75.35108154,0.0
3/1/2019,Proppant,100-Mesh,Anadarko,74.01331116,74.01331116,0.0
4/1/2019,Proppant,100-Mesh,Anadarko,78.42665003,78.42665003,0.0
5/1/2019,Proppant,100-Mesh,Anadarko,80.90332086,80.90332086,0.0
6/1/2019,Proppant,100-Mesh,Anadarko,77.34415731,77.34415731,0.0
7/1/2019,Proppant,100-Mesh,Anadarko,76.54145132,76.54145132,0.0
8/1/2019,Proppant,100-Mesh,Anadarko,75.93942182,75.93942182,0.0
9/1/2019,Proppant,100-Mesh,Anadarko,72.77123303,72.77123303,0.0
10/1/2019,Proppant,100-Mesh,Anadarko,67.71175811,67.71175811,0.0
11/1/2019,Proppant,100-Mesh,Anadarko,61.61715191,61.61715191,0.0
12/1/2019,Proppant,100-Mesh,Anadarko,56.21286394,56.21286394,0.0
1/1/2020,Proppant,100-Mesh,Anadarko,55.49298128,55.49298128,0.0
2/1/2020,Proppant,100-Mesh,Anadarko,60.78640263,60.78640263,0.0
3/1/2020,Proppant,100-Mesh,Anadarko,56.83980197,56.83980197,0.0
4/1/2020,Proppant,100-Mesh,Anadarko,53.87985148,53.87985148,0.0
5/1/2020,Proppant,100-Mesh,Anadarko,52.49322194,52.49322194,0.0
6/1/2020,Proppant,100-Mesh,Anadarko,51.45324979,51.45324979,0.0
7/1/2020,Proppant,100-Mesh,Anadarko,48.27743734,48.27743734,0.0
8/1/2020,Proppant,100-Mesh,Anadarko,47.49280023,47.49280023,0.0
9/1/2020,Proppant,100-Mesh,Anadarko,46.63811869,46.63811869,0.0
10/1/2020,Proppant,100-Mesh,Anadarko,45.64216926,45.64216926,0.0
11/1/2020,Proppant,100-Mesh,Anadarko,44.85662695,44.85662695,0.0
12/1/2020,Proppant,100-Mesh,Anadarko,44.41150313,44.41150313,0.0
1/1/2021,Proppant,100-Mesh,Anadarko,43.99612735,43.99449841,-0.0037025993223577564
2/1/2021,Proppant,100-Mesh,Anadarko,43.68459551,43.68917513,0.010482276184831297
3/1/2021,Proppant,100-Mesh,Anadarko,43.45094663,43.48294978,0.07359930768708146
4/1/2021,Proppant,100-Mesh,Anadarko,43.27570998,43.31062594,0.08061753724910331
5/1/2021,Proppant,100-Mesh,Anadarko,43.14428248,43.18556391,0.09559080920195852
6/1/2021,Proppant,100-Mesh,Anadarko,42.46237853,43.32637988,1.9941692622208418
1/1/2018,Proppant,40/70,Anadarko,100.0,100.0,0.0
2/1/2018,Proppant,40/70,Anadarko,101.3415829,101.3415829,0.0
3/1/2018,Proppant,40/70,Anadarko,102.6540676,102.6540676,0.0
4/1/2018,Proppant,40/70,Anadarko,102.7195387,102.7195387,0.0
5/1/2018,Proppant,40/70,Anadarko,97.25528746,97.25528746,0.0
6/1/2018,Proppant,40/70,Anadarko,90.95175719,90.95175719,0.0
7/1/2018,Proppant,40/70,Anadarko,86.22410949,86.22410949,0.0
8/1/2018,Proppant,40/70,Anadarko,81.20814583,81.20814583,0.0
9/1/2018,Proppant,40/70,Anadarko,75.61941493,75.61941493,0.0
10/1/2018,Proppant,40/70,Anadarko,71.42786676,71.42786676,0.0
11/1/2018,Proppant,40/70,Anadarko,67.53806498,67.53806498,0.0
12/1/2018,Proppant,40/70,Anadarko,65.3668543,65.3668543,0.0
1/1/2019,Proppant,40/70,Anadarko,64.34001453,64.34001453,0.0
2/1/2019,Proppant,40/70,Anadarko,65.40766956,65.40766956,0.0
3/1/2019,Proppant,40/70,Anadarko,67.43360074,67.43360074,0.0
4/1/2019,Proppant,40/70,Anadarko,68.34045417,68.34045417,0.0
5/1/2019,Proppant,40/70,Anadarko,65.03872705,65.03872705,0.0
6/1/2019,Proppant,40/70,Anadarko,61.94983676,61.94983676,0.0
7/1/2019,Proppant,40/70,Anadarko,61.36885474,61.36885474,0.0
8/1/2019,Proppant,40/70,Anadarko,59.80696451,59.80696451,0.0
9/1/2019,Proppant,40/70,Anadarko,58.80775408,58.80775408,0.0
10/1/2019,Proppant,40/70,Anadarko,55.1325247,55.1325247,0.0
11/1/2019,Proppant,40/70,Anadarko,52.06980519,52.06980519,0.0
12/1/2019,Proppant,40/70,Anadarko,48.24127817,48.24127817,0.0
1/1/2020,Proppant,40/70,Anadarko,47.20766777,47.20766777,0.0
2/1/2020,Proppant,40/70,Anadarko,45.71776586,45.71776586,0.0
3/1/2020,Proppant,40/70,Anadarko,44.3961411,44.3961411,0.0
4/1/2020,Proppant,40/70,Anadarko,42.48603011,42.48603011,0.0
5/1/2020,Proppant,40/70,Anadarko,40.44085191,40.44085191,0.0
6/1/2020,Proppant,40/70,Anadarko,39.62166238,39.62166238,0.0
7/1/2020,Proppant,40/70,Anadarko,38.7350058,38.7350058,0.0
8/1/2020,Proppant,40/70,Anadarko,38.01329162,38.01329162,0.0
9/1/2020,Proppant,40/70,Anadarko,37.60057529,37.60057529,0.0
10/1/2020,Proppant,40/70,Anadarko,37.22423242,37.22423242,0.0
11/1/2020,Proppant,40/70,Anadarko,36.94365591,36.94365591,0.0
12/1/2020,Proppant,40/70,Anadarko,36.75437164,36.75437164,0.0
1/1/2021,Proppant,40/70,Anadarko,36.59774948,36.59774948,0.0
2/1/2021,Proppant,40/70,Anadarko,36.48300613,36.48300613,0.0
3/1/2021,Proppant,40/70,Anadarko,35.0196915,35.0196915,0.0
4/1/2021,Proppant,40/70,Anadarko,34.83946918,34.83946918,0.0
5/1/2021,Proppant,40/70,Anadarko,34.55187905,34.55187905,0.0
6/1/2021,Proppant,40/70,Anadarko,34.13204749,34.80367991,1.9297741553100087
1/1/2018,Proppant,Proppant Price Index,Appalachian,100.0,100.0,0.0
2/1/2018,Proppant,Proppant Price Index,Appalachian,99.7803402,99.7803402,0.0
3/1/2018,Proppant,Proppant Price Index,Appalachian,98.61914459,98.61914457,-2.028003968398995e-08
4/1/2018,Proppant,Proppant Price Index,Appalachian,97.76375067,97.76375065,-2.0457467426299793e-08
5/1/2018,Proppant,Proppant Price Index,Appalachian,96.85090909,96.85090908,-1.0325156498604409e-08
6/1/2018,Proppant,Proppant Price Index,Appalachian,97.80966818,97.80966815,-3.067182432480065e-08
7/1/2018,Proppant,Proppant Price Index,Appalachian,98.52990183,98.52990181,-2.0298408186150835e-08
8/1/2018,Proppant,Proppant Price Index,Appalachian,98.08112724,98.08112722,-2.0391284461838e-08
9/1/2018,Proppant,Proppant Price Index,Appalachian,97.34352488,97.34352487,-1.0272905101994041e-08
10/1/2018,Proppant,Proppant Price Index,Appalachian,96.28562066,96.28562066,0.0
11/1/2018,Proppant,Proppant Price Index,Appalachian,95.1015062,95.10150618,-2.1030162884016923e-08
12/1/2018,Proppant,Proppant Price Index,Appalachian,91.4614544,91.46145436,-4.373425874173922e-08
1/1/2019,Proppant,Proppant Price Index,Appalachian,87.71948611,87.71948607,-4.55999061345331e-08
2/1/2019,Proppant,Proppant Price Index,Appalachian,83.95197348,83.95197345,-3.573472826759201e-08
3/1/2019,Proppant,Proppant Price Index,Appalachian,78.64158945,78.64158943,-2.543183803858607e-08
4/1/2019,Proppant,Proppant Price Index,Appalachian,76.09265757,76.09265756,-1.3141864199040799e-08
5/1/2019,Proppant,Proppant Price Index,Appalachian,74.18095866,74.18095865,-1.3480559047521918e-08
6/1/2019,Proppant,Proppant Price Index,Appalachian,72.41934829,72.41934829,0.0
7/1/2019,Proppant,Proppant Price Index,Appalachian,71.1809758,71.1809758,0.0
8/1/2019,Proppant,Proppant Price Index,Appalachian,70.30645299,70.30645298,-1.4223436538351663e-08
9/1/2019,Proppant,Proppant Price Index,Appalachian,71.06548625,71.06548624,-1.4071539451738039e-08
10/1/2019,Proppant,Proppant Price Index,Appalachian,69.31810117,69.31810117,0.0
11/1/2019,Proppant,Proppant Price Index,Appalachian,69.57846954,69.57846954,0.0
12/1/2019,Proppant,Proppant Price Index,Appalachian,68.53337256,68.53337256,0.0
1/1/2020,Proppant,Proppant Price Index,Appalachian,67.71181745,67.71181745,0.0
2/1/2020,Proppant,Proppant Price Index,Appalachian,67.14008968,67.14008968,0.0
3/1/2020,Proppant,Proppant Price Index,Appalachian,66.75494035,66.75494035,0.0
4/1/2020,Proppant,Proppant Price Index,Appalachian,65.92182649,65.92182649,0.0
5/1/2020,Proppant,Proppant Price Index,Appalachian,65.49233182,65.49233183,1.526895354395622e-08
6/1/2020,Proppant,Proppant Price Index,Appalachian,65.16908285,65.16908286,1.5344711777383248e-08
