Date_x,Index Category_x,Sub Category_x,Region_x,Plow_x,Index_x,Phigh_x,UID,Date_y,Index Category_y,Sub Category_y,Region_y,Plow_y,Index_y,Phigh_y,Change
01-01-2018,Proppant,Proppant Price Index,Anadarko,77.80905012,100.0,116.2096588,1118111801,1/1/2018,Proppant,Proppant Price Index,Anadarko,77.80905012,100.0,116.2096588,0.0
02-01-2018,Proppant,Proppant Price Index,Anadarko,78.55797564,101.9798419,118.1047234,1118111802,2/1/2018,Proppant,Proppant Price Index,Anadarko,78.55797564,101.9798419,118.1047234,0.0
03-01-2018,Proppant,Proppant Price Index,Anadarko,79.40832557,101.9659861,118.4240358,1118111803,3/1/2018,Proppant,Proppant Price Index,Anadarko,79.40832557,101.9659862,118.4240358,-9.807192780538127e-08
04-01-2018,Proppant,Proppant Price Index,Anadarko,79.81275359,101.2673842,118.0947484,1118111804,4/1/2018,Proppant,Proppant Price Index,Anadarko,79.81275362,101.2673842,118.0947484,0.0
05-01-2018,Proppant,Proppant Price Index,Anadarko,80.54928949,98.57196318,115.3997566,1118111805,5/1/2018,Proppant,Proppant Price Index,Anadarko,80.54928952,98.57196323,115.3997567,-5.0724359562857996e-08
06-01-2018,Proppant,Proppant Price Index,Anadarko,76.8800309,92.87868495,108.6762341,1118111806,6/1/2018,Proppant,Proppant Price Index,Anadarko,76.88003094,92.878685,108.6762342,-5.3833676983435705e-08
07-01-2018,Proppant,Proppant Price Index,Anadarko,75.18369263,89.89133888,105.0444625,1118111807,7/1/2018,Proppant,Proppant Price Index,Anadarko,75.18369267,89.89133892,105.0444625,-4.4498156993921195e-08
08-01-2018,Proppant,Proppant Price Index,Anadarko,74.3461272,87.10389321,102.341438,1118111808,8/1/2018,Proppant,Proppant Price Index,Anadarko,74.34612724,87.10389326,102.3414381,-5.740272839688139e-08
09-01-2018,Proppant,Proppant Price Index,Anadarko,74.65508887,86.35094815,100.9653456,1118111809,9/1/2018,Proppant,Proppant Price Index,Anadarko,74.65508891,86.3509482,100.9653457,-5.790325678369047e-08
10-01-2018,Proppant,Proppant Price Index,Anadarko,73.28205607,84.03234508,97.35927914,1118111810,10/1/2018,Proppant,Proppant Price Index,Anadarko,73.28205611,84.03234513,97.35927919,-5.950089454720141e-08
11-01-2018,Proppant,Proppant Price Index,Anadarko,74.56196613,83.6399927,97.25473649,1118111811,11/1/2018,Proppant,Proppant Price Index,Anadarko,74.56196616,83.63999273,97.25473652,-3.5868020332381605e-08
12-01-2018,Proppant,Proppant Price Index,Anadarko,70.18697179,79.03610389,92.95147757,1118111812,12/1/2018,Proppant,Proppant Price Index,Anadarko,70.18697181,79.03610391,92.95147759,-2.5304875189429966e-08
01-01-2019,Proppant,Proppant Price Index,Anadarko,67.78880208,76.5347326,89.59816753,1118111901,1/1/2019,Proppant,Proppant Price Index,Anadarko,67.7888021,76.53473262,89.59816756,-2.613192857069892e-08
02-01-2019,Proppant,Proppant Price Index,Anadarko,66.44032339,75.10236709,87.12526683,1118111902,2/1/2019,Proppant,Proppant Price Index,Anadarko,66.44032339,75.1023671,87.12526684,-1.3315151185571443e-08
03-01-2019,Proppant,Proppant Price Index,Anadarko,64.80549651,73.02762635,84.98806541,1118111903,3/1/2019,Proppant,Proppant Price Index,Anadarko,64.80549652,73.02762636,84.98806542,-1.36934393486231e-08
04-01-2019,Proppant,Proppant Price Index,Anadarko,61.25930561,73.37855352,85.3204401,1118111904,4/1/2019,Proppant,Proppant Price Index,Anadarko,61.25930562,73.37855353,85.32044011,-1.3627970916741325e-08
05-01-2019,Proppant,Proppant Price Index,Anadarko,60.4999508,71.99175912,84.10240219,1118111905,5/1/2019,Proppant,Proppant Price Index,Anadarko,60.49995081,71.99175913,84.1024022,-1.3890489765866785e-08
06-01-2019,Proppant,Proppant Price Index,Anadarko,58.58555695,68.89530562,82.84310045,1118111906,6/1/2019,Proppant,Proppant Price Index,Anadarko,58.58555694,68.89530561,82.84310044,1.4514788551758901e-08
07-01-2019,Proppant,Proppant Price Index,Anadarko,57.7807593,67.39755451,80.73704081,1118111907,7/1/2019,Proppant,Proppant Price Index,Anadarko,57.7807593,67.39755451,80.73704081,0.0
08-01-2019,Proppant,Proppant Price Index,Anadarko,58.07140112,66.29595627,77.15732134,1118111908,8/1/2019,Proppant,Proppant Price Index,Anadarko,58.07140113,66.29595627,77.15732134,0.0
09-01-2019,Proppant,Proppant Price Index,Anadarko,56.97892252,63.82441605,73.94782887,1118111909,9/1/2019,Proppant,Proppant Price Index,Anadarko,56.97892253,63.82441605,73.94782887,0.0
10-01-2019,Proppant,Proppant Price Index,Anadarko,53.57256335,60.97037716,71.68653497,1118111910,10/1/2019,Proppant,Proppant Price Index,Anadarko,53.57256337,60.97037718,71.68653499,-3.280281767377445e-08
11-01-2019,Proppant,Proppant Price Index,Anadarko,49.00430899,54.97600444,66.50177726,1118111911,11/1/2019,Proppant,Proppant Price Index,Anadarko,49.004309,54.97600445,66.50177727,-1.8189755565662404e-08
12-01-2019,Proppant,Proppant Price Index,Anadarko,46.05322987,50.98338191,62.80121909,1118111912,12/1/2019,Proppant,Proppant Price Index,Anadarko,46.05322987,50.98338191,62.80121908,0.0
01-01-2020,Proppant,Proppant Price Index,Anadarko,43.98591955,49.55750429,62.1643473,1118112001,1/1/2020,Proppant,Proppant Price Index,Anadarko,43.98591955,49.55750429,62.1643473,0.0
02-01-2020,Proppant,Proppant Price Index,Anadarko,43.72049117,50.91659947,61.89102998,1118112002,2/1/2020,Proppant,Proppant Price Index,Anadarko,43.72049117,50.91659947,61.89102999,0.0
03-01-2020,Proppant,Proppant Price Index,Anadarko,41.96032788,48.20837335,58.85656564,1118112003,3/1/2020,Proppant,Proppant Price Index,Anadarko,41.96032787,48.20837334,58.85656563,2.0743286139945458e-08
04-01-2020,Proppant,Proppant Price Index,Anadarko,39.56447529,44.84015524,54.75604951,1118112004,4/1/2020,Proppant,Proppant Price Index,Anadarko,39.56447528,44.84015524,54.7560495,0.0
05-01-2020,Proppant,Proppant Price Index,Anadarko,37.86812146,42.91186719,51.00618407,1118112005,5/1/2020,Proppant,Proppant Price Index,Anadarko,37.86812146,42.91186719,51.00618407,0.0
06-01-2020,Proppant,Proppant Price Index,Anadarko,37.811881,41.93265257,49.17794037,1118112006,6/1/2020,Proppant,Proppant Price Index,Anadarko,37.811881,41.93265257,49.17794038,0.0
07-01-2020,Proppant,Proppant Price Index,Anadarko,35.66779708,40.23921382,47.48607803,1118112007,7/1/2020,Proppant,Proppant Price Index,Anadarko,35.66779708,40.23921381,47.48607803,2.4851382216700847e-08
08-01-2020,Proppant,Proppant Price Index,Anadarko,32.54009796,38.89008767,44.78087126,1118112008,8/1/2020,Proppant,Proppant Price Index,Anadarko,32.54009796,38.89008767,44.78087126,0.0
09-01-2020,Proppant,Proppant Price Index,Anadarko,30.47648388,37.77369705,42.92139367,1118112009,9/1/2020,Proppant,Proppant Price Index,Anadarko,30.47648388,37.77369705,42.92139367,0.0
10-01-2020,Proppant,Proppant Price Index,Anadarko,29.83282138,37.0902443,42.97419721,1118112010,10/1/2020,Proppant,Proppant Price Index,Anadarko,29.83282138,37.09024431,42.97419722,-2.6961269778974494e-08
11-01-2020,Proppant,Proppant Price Index,Anadarko,31.32061621,37.44012258,43.82816045,1118112011,11/1/2020,Proppant,Proppant Price Index,Anadarko,31.32061619,37.44012257,43.82816044,2.6709316472018106e-08
12-01-2020,Proppant,Proppant Price Index,Anadarko,30.72297878,36.85377051,44.55235879,1118112012,12/1/2020,Proppant,Proppant Price Index,Anadarko,30.72297877,36.8537705,44.55235879,2.713424863614139e-08
